ID	%Miss	inferred_cluster_1	inferred_cluster_2	replication
NP025001	(0)	0.997	0.003	1
NP025002	(0)	0.987	0.013	1
NP025003	(0)	0.992	0.008	1
NP025004	(0)	0.990	0.010	1
NP025005	(0)	0.994	0.006	1
NP025006	(0)	0.995	0.005	1
NP025007	(0)	0.997	0.003	1
NP025008	(0)	0.992	0.008	1
NP025009	(0)	0.997	0.003	1
NP025010	(0)	0.994	0.006	1
NP025011	(0)	0.975	0.025	1
NP025012	(0)	0.994	0.006	1
NP025013	(0)	0.983	0.017	1
NP025014	(0)	0.988	0.012	1
NP961862	(5)	0.991	0.009	1
NP965791	(0)	0.974	0.026	1
NP965819	(0)	0.952	0.048	1
NP965820	(0)	0.995	0.005	1
NP965821	(0)	0.995	0.005	1
NP965824	(5)	0.838	0.162	1
NP966224	(11)	0.994	0.006	1
NP966248	(0)	0.992	0.008	1
NP966249	(0)	0.906	0.094	1
NP966253	(11)	0.971	0.029	1
NP966254	(0)	0.964	0.036	1
SC005129	(0)	0.016	0.984	1
SC005133	(0)	0.002	0.998	1
SC005134	(11)	0.227	0.773	1
SC005137	(0)	0.005	0.995	1
SC005138	(0)	0.009	0.991	1
SC005139	(0)	0.001	0.999	1
SC005141	(0)	0.001	0.999	1
SC005142	(0)	0.003	0.997	1
SC005143	(0)	0.001	0.999	1
SC005144	(0)	0.039	0.961	1
SC005145	(0)	0.002	0.998	1
SC005146	(0)	0.002	0.998	1
SC005149	(0)	0.001	0.999	1
SC005150	(0)	0.372	0.628	1
SC005151	(0)	0.001	0.999	1
SC005152	(0)	0.001	0.999	1
SC005156	(0)	0.001	0.999	1
SC005159	(0)	0.001	0.999	1
SC005161	(0)	0.001	0.999	1
SC005167	(0)	0.001	0.999	1
SC005173	(0)	0.001	0.999	1
SC015174	(0)	0.002	0.998	1
SC015175	(0)	0.833	0.167	1
SC015177	(0)	0.002	0.998	1
SC015179	(0)	0.002	0.998	1
SC015181	(0)	0.001	0.999	1
SC015191	(0)	0.002	0.998	1
SC025195	(0)	0.001	0.999	1
SC025196	(0)	0.015	0.985	1
SC030199	(0)	0.011	0.989	1
SC030200	(0)	0.002	0.998	1
SC030202	(0)	0.002	0.998	1
SC030203	(0)	0.001	0.999	1
SC030204	(0)	0.001	0.999	1
SC030207	(0)	0.002	0.998	1
SC030208	(0)	0.001	0.999	1
SC030210	(0)	0.020	0.980	1
SC040212	(0)	0.001	0.999	1
SC040214	(0)	0.001	0.999	1
SC040215	(0)	0.002	0.998	1
SC040219	(0)	0.001	0.999	1
